site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-STA-L50	CH-STA-L50-L01-CORE02	1/3	10gbase-x-sfpp	S-FWZONE:X4	CH-STA-L50-FWZone01	x4	Firewall	USW	10000	USW-FW01_X4	11	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/4	1000base-t	FWZONE-HA2	CH-STA-L50-FWZone01	port1	Firewall	USW	1000	USW-1G-FW01_1	13	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/7	10gbase-x-sfpp	NNI:L50-L01-MGMT01_1/30	CH-STA-L50-L01-MGMT01	1:30	Switch Mgmt	USW	10000	USW-L01-M01_1_30	16	
CH-STA-L50	CH-STA-L50-L01-CORE02	2/1	10gbase-x-sfpp	NNI:L50-Co01:2/1	CH-STA-L50-L01-CORE01	2:1	Switch Core	USW	10000	USW-L01-C01_2_1	15	
CH-STA-L50	CH-STA-L50-L01-CORE02	2/2	10gbase-x-sfpp	NNI:L26-Co02:2/2	CH-STA-L26-L02-CORE02	2:2	Switch Core	USW	10000	USW-L26-C02_2_2	15	
CH-STA-L50	CH-STA-L50-L01-CORE02	2/3	10gbase-x-sfpp	NNI:L26-Co02:2/3	CH-STA-L26-L02-CORE02	2:3	Switch Core	USW	10000	USW-L26-C02_2_3	15	
CH-STA-L50	CH-STA-L50-L01-DIST01	1	1000base-t	ACCE01_p24	CH-STA-L50-L01-ACCE01	24	Switch Access	USW	1000	USW-1G-L01-A01_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	10	1000base-t	ACCE10_p24	CH-STA-L50-L01-ACCE10	24	Switch Access	USW	1000	USW-1G-L01-A10_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	12	1000base-t	ACCE12_p24	CH-STA-L50-L01-ACCE12	24	Switch Access	USW	1000	USW-1G-L01-A12_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	13	1000base-t	ACCE13_p24	CH-STA-L50-L01-ACCE13	24	Switch Access	USW	1000	USW-1G-L01-A13_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	14	1000base-t	ACCE14_p24	CH-STA-L50-L01-ACCE14	24	Switch Access	USW	1000	USW-1G-L01-A14_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	15	1000base-t	ACCE15_p24	CH-STA-L50-L01-ACCE15	24	Switch Access	USW	1000	USW-1G-L01-A15_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	2	1000base-t	ACCE02_p24	CH-STA-L50-L01-ACCE02	24	Switch Access	USW	1000	USW-1G-L01-A02_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	25	1000base-x-sfp	L52-ACCE01_p25	CH-STA-L52-L02-ACCE01	25	Switch Access	USW	1000	USW-1G-L52-A01_25	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	29	10gbase-x-sfpp	CORE_tg.3.12	CH-STA-L50-L01-CORE01	1:20	Switch Core	USW	10000	USW-L01-C01_1_20	16	
CH-STA-L50	CH-STA-L50-L01-DIST01	3	1000base-t	ACCE03_p48	CH-STA-L50-L01-ACCE03	48	Switch Access	USW	1000	USW-1G-L01-A03_48	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	30	10gbase-x-sfpp	CORE_tg.7.12	CH-STA-L50-L01-CORE02	1:20	Switch Core	USW	10000	USW-L01-C02_1_20	16	
CH-STA-L50	CH-STA-L50-L01-DIST01	4	1000base-t	ACCE04_p24	CH-STA-L50-L01-ACCE04	24	Switch Access	USW	1000	USW-1G-L01-A04_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	5	1000base-t	ACCE05_p24	CH-STA-L50-L01-ACCE05	24	Switch Access	USW	1000	USW-1G-L01-A05_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	6	1000base-t	ACCE06_p48	CH-STA-L50-L01-ACCE06	48	Switch Access	USW	1000	USW-1G-L01-A06_48	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	7	1000base-t	ACCE07_p48	CH-STA-L50-L01-ACCE07	48	Switch Access	USW	1000	USW-1G-L01-A07_48	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	8	1000base-t	ACCE08_p24	CH-STA-L50-L01-ACCE08	24	Switch Access	USW	1000	USW-1G-L01-A08_24	17	
CH-STA-L50	CH-STA-L50-L01-DIST01	9	1000base-t	ACCE09_p24	CH-STA-L50-L01-ACCE09	24	Switch Access	USW	1000	USW-1G-L01-A09_24	17	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/1	1000base-t	S-FWZONE_p13	CH-STA-L50-FWZone01	port13	Firewall	USW	1000	USW-1G-FW01_13	14	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/2	1000base-t	S-FWZONE_p14	CH-STA-L50-FWZone01	port14	Firewall	USW	1000	USW-1G-FW01_14	14	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/20	1000base-t	SRV01_p23	CH-STA-L50-L01-ACCE11	23	Switch Access	USW	1000	USW-1G-L01-A11_23	17	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/21	1000base-t	SRV01_p24	CH-STA-L50-L01-ACCE11	24	Switch Access	USW	1000	USW-1G-L01-A11_24	17	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/29	10gbase-x-sfpp	NNI-port	CH-STA-L50-L01-CORE01	1:7	Switch Core	USW	10000	USW-L01-C01_1_7	15	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/3	1000base-t	S-FWZONE_p15	CH-STA-L50-FWZone01	port15	Firewall	USW	1000	USW-1G-FW01_15	14	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/30	10gbase-x-sfpp	NNI-port	CH-STA-L50-L01-CORE02	1:7	Switch Core	USW	10000	USW-L01-C02_1_7	15	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/4	1000base-t	S-FWZONE_p16	CH-STA-L50-FWZone01	port16	Firewall	USW	1000	USW-1G-FW01_16	14	
CH-STA-L50	CH-STA-L50-L01-MGMT01	1/9	1000base-t	FWZONE-MGMT	CH-STA-L50-FWZone01	mgmt	Firewall	USW	1000	USW-1G-FW01_MGMT	16	
CH-STA-L52	CH-STA-L52-L02-ACCE01	1	1000base-t		CH-STA-L52-L02-ACPO01	mgmt0	Access Point	UP	1000	UP-L02-AP01	11	
CH-STA-L52	CH-STA-L52-L02-ACCE01	25	1000base-x-sfp	UPLINK	CH-STA-L50-L01-DIST01	25	Switch Dist	USW	1000	USW-1G-L50-D01_25	17	
CH-STA-L50	CH-STA-L50-L02-ACCE01	1	1000base-t	L02-ACPO01	CH-STA-L50-L02-ACPO01	mgmt0	Access Point	UP	1000	UP-L02-AP01	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	10	1000base-t	L03-ACPO01	CH-STA-L50-L03-ACPO01	mgmt0	Access Point	UP	1000	UP-L03-AP01	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	11	1000base-t	L03-ACPO02	CH-STA-L50-L03-ACPO02	mgmt0	Access Point	UP	1000	UP-L03-AP02	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	12	1000base-t	L02-ACPO10	CH-STA-L50-L02-ACPO10	mgmt0	Access Point	UP	1000	UP-L02-AP10	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	2	1000base-t	L02-ACPO02	CH-STA-L50-L02-ACPO02	mgmt0	Access Point	UP	1000	UP-L02-AP02	11	
