canary_key	iftype	netbox_description	far_device	far_port	far_role	far_site	far_is_mgmt	link_mbps	class	expected_label	len	headroom	status
CH-STA-L26-GFL-ACCE02::8	1000base-t		CH-STA-L26-GFL-ACPO08	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP08	11	9	ok
CH-STA-L26-GFL-ACCE03::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	3	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI02_P3	18	2	ok
CH-STA-L26-GFL-ACCE04::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	4	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI02_P4	18	2	ok
CH-STA-L26-GFL-ACCE05::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	5	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI01_P5	18	2	ok
CH-STA-L26-GFL-ACCE06::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	6	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI01_P6	18	2	ok
CH-STA-L26-GFL-ACCE07::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	7	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI02_P7	18	2	ok
CH-STA-L26-GFL-ACCE08::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	8	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI02_P8	18	2	ok
CH-STA-L26-GFL-ACCE09::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	9	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI01_P9	18	2	ok
CH-STA-L26-GFL-ACCE10::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	10	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI01_P10	15	5	ok
CH-STA-L26-GFL-ACCE11::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	13	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P13	15	5	ok
CH-STA-L26-GFL-ACCE12::48	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	12	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P12	15	5	ok
